On New Site Now,On Old Site,Industry,Family,Product ID,Product Name,Chemistry,Applications,Benefits,Size ,Color,Cleanup,Recommended Equipment,TDS Data Table,Need 3D Image Now
,Yes,Industrial,ForzaTAPE,T220,Ultra High-Bond Acrylic Foam Tape,Acrylic Foam,"* Bonds plastics, metals, woods, papers, and silicones used in the automotive, electronics, advertising, hardware, and construction industries where permanent flexibility is needed. 
* Ideal for replacing screws, rivets, and welding in trailer side skin applications.  ","*  Can withstand a wide range of weathering and temperature conditions without losing adhesion 
*  Replaces screw, riveting and welding 
*  High strength bond resists moisture, chemicals, dust and UV 
*  Very flexible, with elongation rate of 800% 
*  Instant high strength; bonds well to many surfaces 
*  Maintains adhesion at subzero temperatures 
*  Long aging, resists hardening or embrittlement 
*  Flexible and compressible 
*  Shockproof and soundproof characteristics","*  .5 x 108
*  .25 x 108
*  .75 x 108
*  .375 x 108
*  1 x 108
*  1.5 x 108
*  .052 Thick Foam
*  2 x 108
*  3.125 x 108
*  Custom Sizes Available",,,,,
,,Industrial,ForzaTAPE,T226,"Structural Acrylic, High Bond Adhesive Tape",Acrylic Foam,"• Bonds a wide variety of materials where permanent flexibility is needed, including plastics, metals, wood, paper, and silicone.
• Bonds parts where static load is high in the transportation, electronics, advertising, hardware, and construction industries
• Also bonds parts in the solar PV and elevator industries","• Can withstand a wide range of weathering and temperature conditions without losing adhesion
• Reduces weight & replaces screw, riveting and welding
• High strength bond resists moisture, chemicals, dust, and UV
• Very flexible, with elongation rate of 800%
• Instant high strength; bonds well to many surfaces
• Long aging, resists hardening or embrittlement
• Flexible and compressible
• Excellent sealing, shockproof and soundproof characteristics
• Adheres well to high and low surface energy substrates
• Good peel and shear strength",*  5/8 x 18 yards,,,,,
,Yes,Industrial,ForzaTAPE,T305,Foam Tape,Acrylic Foam,"Ideal for use in these applications and more: gasketing, sealing, polishing, noise, and vibration dampening, wiping, packaging protection, and filtering ",* High-quality design assures long-lasting performance.,*  3/8 in x 50 ft,,,,,
,,Industrial,ForzaTAPE,T310,Reverse Wound Thermal Break Tape,Acrylic Foam,Used as a thermal break in the construction of metal buildings.,"• Low density foam
• Remains pliable at temperatures of -20ºC to 82ºC
• Excellent fungi, oxidization and weather resistance","*  2? x 100?
*  2? x 75?",,,,,
,Yes,Industrial,ForzaTAPE,T350,Thermal Break Tape,Thermal,"Excellent performance in applications that require:
High impact resistance, noise reduction, and reducing vibration.","*  The polyethylene foam tape is coated with a high tack rubber adhesive, ensuring a strong and immediate bond upon application.
*  This adhesive offers exceptional gripping power, making it perfect for applications where secure adhesion is crucial.
*  The polyethylene foam provides excellent cushioning and impact resistance, protecting surfaces from damage and reducing noise and vibration.
*  The foam tape is designed for easy and hassle-free application.
*  The combination of polyethylene foam and high tack rubber adhesive results in a durable and reliable tape. It can withstand various environmental conditions, including temperature changes, moisture, and UV exposure, without losing its adhesive properties or degrading over time.","*  .18 x 3 x 1000
*  .125 x 3 x 100
*  .25 x 3 x 100
*  .125 x 2 x 100
*  .25 x 3 x 50",,,,,
,,Industrial,ForzaTAPE,T446,???,???,???,???,???,,,,,
,,Industrial,ForzaTAPE,T449,Double-Coated PET Tape,Acrylic Foam,"Ideal for use in general purpose mounting & bonding applications including:
• Electronics applications
• Nameplates and overlays
• Appliance Assembly
• Medical device assembly
• Sign & Display","• High performance acrylic adhesive
• Excellent shear properties
• Dimensionally stable poly-coated release liner
• Dual liner version is available if 2 liners is preferred.
• Maintains performance after heat & humidity  exposure
• Solvent & humidity exposure
• Non-whitening & low odor
• Excellent handling and die-cutting.","*  24? x 180?
*  25? x 180'",,,,,
,,Industrial,ForzaTAPE,T454,Two-Sided Tape,Rubber Based,???,"*  Excellent Sheer Properties
*  Aggressive Adhesion","*  2"" x 2""",,,,,
,,Industrial,ForzaTAPE,T461,Hot Melt Transfer Tape,Rubber Based,"*  Used for mounting trim and insulation panels
*  Used for fixing edging, signs, decorative edging and panels
*  Effectively bonds different materials together, versatile option for various applications.","*  Offers excellent adhesion to a wide range of surfaces, including plastics, metals, glass, and more. 
*  Provides a strong and reliable bond  
*  Delivers long-lasting adhesion.
*  Withstand both high and low temperatures,","*  .75” x 100’
*  1” x 100’",,,,,
,,Industrial,ForzaTAPE,T462,???,???,???,???,???,,,,,
,Yes,Industrial,ForzaTAPE,T464,Transfer Tape,Transfer,"*  Bonds paper and corrugate materials, including wax coated corrugate
*  Bonds many foams including XLPE, EPDM, EVA and polyurethane foams
*  Bonds LSE materials, plastics and metals
*  Applications that require high tack in cold applications","*  Works exceptionally well in cold weather
*  Provides strong bond to cold or damp surfaces
*  Performs well on LSE materials
*  Good cohesive strength
*  High initial tack
*  Excellent peel and shear
*  Bonds a wide variety of substrates","*  1.5 x 180
*  2 x 180
*  1.5 x 1080",,,,,
,,Industrial,ForzaTAPE,T465,Transfer Tape,Acrylic Foam,"• Bonds foam, plastics, metals, composites, and many other substrates
• Bonds many commercial construction applications, including metal building insulation
• Used for lap seals on laminated, reflective and pipe jacketing insulation
• May also be used to mount smooth surface substrates in freezer","• Works exceptionally well in cold weather
• Excellent holding power
• UV resistant","*  1/2 in x 180 ft
*  2 in x 180 ft",,,,,
,,Industrial,ForzaTAPE,T515,Butyl Adhesive Tape,???,???,???,???,,,,,
,,Industrial,ForzaTAPE,T532,Double-Coated PE Foam Tape,???,"An aggressive mounting tape ideally suiting for applications involving these types of surfaces: 
* Polyethylene, Polypropylene and other difficult substrates. 
* Bonds well to low energy surfaces. 
* Conforms to textured and rough surfaces","• Cross-linked EVA:PE copolymer foam
• Superior strength & durability
• Permanent bond
• Good initial tack
• High shear & peel strength
• Provides clean glue line","*  1/4 x 1/32 x 216 yards
*  1/2 x 1/32 x 216 yards
*  3/4 x 1/32 x 216 yards
*  1 x 1/32 x 216 yards
*  2 x 1/32 x 216 yards",,,,,
,Yes,Industrial,ForzaTAPE,T600,Foam Gasketing Tape,???,*  Used in applications requiring a seal for tight radius curves,"*  3/16? Thick Foam
*  Low density foam
*  Remains pliable at temperatures of -20°C to 82°C
*  Excellent fungi, oxidization and weather resistance","*  2? x 100?
*  2? x 75?",,,,,
,,Industrial,ForzaTAPE,T710,Extreme Sealing Tape,Single Sided,"Specifically designed for seam sealing for water proof and dust proof applications on roof and other areas in the trailer and transporation industry where liquid sealant may have been used:
• Very high humidity and UV resistance
• Indoor and outdoor use
• Suitable for most surfaces","• Versatile Sealing
• Replaces Liquid Sealants
• High Initial Adhesion
• Flexible Application
• Excellent Environmental Resistance","*  3""
*  Custom sizes available",,,,,
,Yes,Industrial,ForzaTAPE,T715,Cold Temp Double-Coated Tape,Double Coated,"Bonds in applications with paper and corrugate materials, including wax coated currugate
• Bonds many foams including XLPE, EPDM, EVA, and polyurethane foams
• Bonds LSE materials, plastics, and metals
• Bonds well in low temperature","*  Works exceptionally well in cold weather 
*  Provides strong bond to cold or damp surfaces 
*  Performs well on LSE materials 
*  Good cohesive strength 
*  High initial tack 
*  Excellent peel and shear 
*  Bonds a wide variety of substrates","*  .75 x 180
*  1.5 x 180
*  1.5 x 1800
*  5.9 x 60 x 180
*  5.9 x 60 x 400",,,,,
,Yes,Industrial,ForzaTAPE,T900,Butyl Tape,???,"*  T900 has outstanding webbing and elongation properties along with excellent adhesion to glass, plastic (but not plasticized PVC), polyethylene, galvanized aluminum, galvalume, siliconized polyester, polyurethane and polyvinyl fluoride painted substrates.
*  Preformed butyl tapes allow the erector precise control of volume and sealant placement on roof laps, end laps and side laps of metal buildings. ","*  Soft, resilient and easily worked by hand, yet adheres instantly to most uncleaned surfaces.
*  Has excellent weathering characteristics while retaining adhesion and elasticity in both hot and cold environments. 
*  Is chemically inert and is non-corrosive to paint, metal, aluminum, copper, plastic and will not swell rubber. ",*  Sizing available upon request,,,,,
,Yes,Industrial,ForzaTAPE,T950,FSK Bonding Tape,???,"*  Sealing applications for fibrous ductboard, FSK-faced duct wrap and sheet metal ducts.
*  Vapor seal for reinforced aluminum faced fiberglass or mineral wool thermal insulation.","*  Cold weather adhesive performs well over a wide temperature range
*  Excellent performance in demanding heat and humidity conditions
*  Conforms well to irregular surfaces",*  Sizing available upon request,,,,,
,Yes,Industrial,ForzaTAPE,T970,Foil Bonding Tape,???,"*  Aircraft paint stripping maskant.
*  Moisture barrier in “white goods” appliances.
*  General purpose heat reflector and heat dissipater.
*  Mechanically hold wires and cooling coils in “white goods” appliances.
*  Repair tears on truck trailers and aircraft.
*  Splicing of thin gauge foils.
*  General purpose holding, patching, sealing applications – indoors and out.","*  Flame resistant. Meets U.L. 746C (File E 122798) and 723, Class ""L"" low flammability rating (File R 7311)
*  Forza aluminum foil tape 425 can be certified to meet L-T-80C.
*  Meets requirements of FAR 25.853(a).
*  The very low moisture vapor transmission rate makes these tapes a good sealant.
*  The acrylic adhesive, combined with the durable aluminum backing, offers ideal properties for long serviceable life in and outdoors.
*  Good candidate as a maskant in electroplating of aluminum because it will not contaminate the bath.
*  Aluminum backing provides excellent reflection of both heat and light.
*  Best results obtained when applied to a clean, dry surface above 32°F (0°C).
IMPORTANT: These tapes are not intended for medical usage. Neither Forza nor the Food and Drug Administration have evaluated or reviewed this tape for medical application. Forza does not recommend or endorse the usage of the aluminum tape for medical application. User assumes all risk and liability whatsoever in connection with usage of product in a medical application.","*  3.5?
*  Custom Sizing Available",,,,,
,,Industrial,ForzaBOND,W700,HPL Laminating Adhesive,Water Based,"Specifically formulated for cold press applications, edge bonding, veneer & HPL laminating, Panel to frame bonding, and general wood assembly.","• Excellent coverage
• Extended closed assembly time for press preparation
• Easy clean up
• Excellent sanding properties
• Good low-temperature curing properties","*  5 Gallon Pail
*  1 Gallon Can
*  52 Gallon Drum
*  Tote",,,,,
,,,,,,,,,,,,,,
On New Site,On Old,Industry,Family,Product ID,Product Name,Chemistry,Applications,Benefits,Size ,Color,,,TDS Data Table,
,Yes,Insulation,ForzaBOND,R-OSA,ISOPROPYL ALCOHOL BASED CLEANER/ADHESION PROMOTER,Solvent Based,"Used to promote adhesion in insulation applications that include: painted surfaces, bare metals, and plastics","*  Low Odor
*  Fast drying
*  Promotes adhesion to difficult substrates for adhesion
*  Easy wipe on format
*  Reduces grease and oils",*  1 Quart Can,,,,,
Yes,Yes,Insulation,ForzaBOND,R-A2000,LOW/MEDIUM VISCOSITY LAMINATING ADHESIVE,Water Based,"Engineered for bonding facing materials to fiberglass and mineral wood in roll coating insulation applications. It features high initial green-strength, effectively addressing the challenge of wrinkling across various facing materials. ",Already on New Site,"*  5 Gallon Pail
*  55 Gallon Drum
*  Tote","*  5 Gallon Pail
*  55 Gallon Drum
*  Tote",,,,
Yes,Yes,Insulation,ForzaBOND,R-C661,NON FLAMMABLE HIGH PERFORMANCE SPRAY CONTACT ADHESIVE,Solvent Based,"Formulated as an economical, high-strength adhesive for bonding fiberglass to metal in duct liner applications. It is versatile and suitable for additional substrates, including wood, foam, carpet, paper, cardboard, fabric, and plastics",Already on New Site,"*  1 Gallon Can
*  5 Gallon Pail
*  55 Gallon Drum",*  Amber,,,,
Yes,Yes,Insulation,ForzaBOND,RC826,"LOW VOC, CA COMPLIANT, MULTI-PURPOSE ADHESIVE",Solvent Based,"Specifically designed as an economical & aggressive pressure sensitive adhesive. Ideal for quick stick applications including fixturing and wrapping of porous materials. This also bonds to:
• Foams
• Metals
• Plastics
• Concrete Walls",Already on New Site,"*  13oz Aerosol Can
*  22L Disposable Canister
*  108L Returnable Canister","*  Clear
*  Red",,,,
Yes,Yes,Insulation,ForzaBOND,RC862,"NON-FLAMMABLE, NON-METHYLENE CHLORIDE CONTACT ADHESIVE",Solvent Based,"Specifically designed for universal applications in the insulation industry, including bonding facing materials to polyiso, mineral wood, and other insulating substrates. Its fast tack and wide temperature range make it ideal for use in all environments.",Already on New Site,"*  22L Disposable Canister
*  108L Returnable Canister","*  Clear
*  Blue",,,,
Yes,Yes,Insulation,ForzaBOND,RC863,"LOW VOC, CA COMPLIANT, MULTI-PURPOSE, CONTACT ADHESIVE",Solvent Based,"Specifically designed to permanently bond both porous and non-porous materials, making it ideal for applications requiring low VOCs and allowing for repositioning. Its low-profile spray pattern minimize wrinkling and prevents adhesive telegraphing for a smooth finish",Already on New Site,"*  13oz Aerosol Can
*  22L Disposable Canister
*  108L Returnable Canister
*  5 Gallon Pail 
*  55 Gallon Drum","*  Clear
*  Red",,,,
Yes,Yes,Insulation,ForzaBOND,RC864,"AGGRESSIVE, FAST FRYING, PRESSURE SENSITIVE ADHESIVE",Solvent Based,"A pressure sensitive adhesive designed for a wide range of applications, including bonding polystyrene foam, insulation materials, acoustic materials, and foam. It’s aggressive tack and quick-drying formulation make it ideal for bonding and fixturing porous materials instantly. Well-suited for vertical applications, as well as wrapping and stuffing processes, and is specially formulated to prevent attacking or cavitating polystyrene foam",Already on New Site,"*  13 oz Aerosol Can
*  22L Disposable Canister
*  108L Returnable Canister","*  Clear
*  Green",,,,
Yes,Yes,Insulation,ForzaBOND,RC886,"LOW VOC, CA COMPLIANT, AGGRESSIVE, FAST DRYING, PRESSURE SENSITIVE ADHESIVE",Solvent Based,"Specifically designed as an economical and aggressive pressure sensitive adhesive. Ideal for quick stick applications including fixturing and wrapping of porous materials. 
Also bonds to:
• Foams
• Metals
• Plastics
• Concrete Walls",Already on New Site,"*  13oz Aerosol Can
*  22L Disposable Canister
*  108L Returnable Canister","*  Clear
*  Red",,,,
Yes,Yes,Insulation,ForzaBOND,RC887,"HIGH TEMP, PRESSURE-SENSITIVE CONTACT ADHESIVE",Solvent Based,"Specifically designed as an aggressive tack, quick-drying adhesive formulated for applications requiring high heat resistance. It provides instant bonding and fixturing of porous materials making it ideal for vertical applications, as well as wrapping and stuffing processes.",Already on New Site,"*  22L Disposable Canister
*  108L Returnable Canister",,,,,
Yes,Yes,Insulation,ForzaSEAL,R-OS8,"NON-HAZARDOUS, HIGH STRENGTH, SINGLE PART MOISTURE CURE HYBRID POLYMER",Modified Silane,"A premium performance adhesive utilizing hybrid polymer technology, specifically designed for high velocity air conditioning, refrigeration, ventilation, and air distribution units. It is ideal for both indoor and outdoor applications",Already on New Site,"*  10 oz Sausage
*  20 oz Sausage
*  28 oz Cartridge
*  10.1oz Cartridge
*  52 Gallon Drum
5 Gallon Pail","*  Grey
*  White
*  Black",,,,
Yes,Yes,Insulation,ForzaSEAL,R-OS84,SINGLE-COMPONENT SILICONE SEALANT,Silicone,"Specifically designed as a high-quality silicone sealant for HVAC applications, offering a permanent, long-lasting, and weather-resistant seal",Already on New Site,"*  10.1oz Cartridge
*  20oz Sausage","*  Clear
*  White",,,,
Yes,Yes,Insulation,ForzaBOND,R-R820,"TWO-PART, EPOXY ADHESIVE",Epoxy,"Specifically designed as a fast-setting epoxy for bonding insulation hangers, providing a superior alternative to traditional tack welds and mechanical fasteners. It forms a structural bond capable of withstanding extreme environments.",Already on New Site,"*  300ml Dual Cartridge
*  280ml Coaxal
*  5 Gallon Pail
*  50ml Dual Cartridge","*  Clear
*  Blue",,,,
Yes,Yes,Insulation,ForzaTAPE,R-T600,THERMAL-BREAK FOAM TAPE ,Acrylic Foam,"Specifically engineered for insulation applications, preventing thermal transfer between metals. It is ideal for use in metal building insulation, providing effective thermal protection in a wide range of environments",Already on New Site,"*  3/8in x 50ft
*  3in x 75ft
*  3in x 100ft",,,,,
Yes,Yes,Insulation,ForzaTAPE,R-T620,"LOW DENSITY, REVERSE WOUND, PVS, SINGLE SIDED THERMAL TAPE",Acrylic Foam,"Specifically designed as a thermal break tape for insulation applications that require enhanced rugged performance. It effectively prevents thermal transfer between metals and ideally suited for metal building insulation applications, providing reliable thermal protection in demanding environments.",Already on New Site,"*  1/2in x 50ft
*  3in x 100ft
*  3in x 75ft",,,,,
Yes,Yes,Insulation,ForzaTAPE,R-T860,COLD TEMPERATURE DOUBLE COATED TAPE,Double Coated,"Specifically designed and engineered for cold weather applications where excellent initial tack and extreme temperature requirements are necessary. Ideally suited for:
• Mounting insulation (cold temperature)
• Creating lap seals on laminated insulation
• Reflective insulation and jacketing materials
• Permanently bonds foams, plastics, and metals",Already on New Site,"*  3/4in x 180 ft
*  1 ½ x 180 ft
*  1 1/2in x 1080 ft
*  1 1/2in x 1800 ft
*  custom sizes available upon request",,,,,
,,,,,,,,,,,,,,
On New Site,On Old,Industry,Family,Product ID,Product Name,Chemistry,Applications,Benefits,Size ,Color,Cleanup,Recommended Equipment,TDS Data Table,
Yes,Yes,Marine,ForzaBOND,M-C280,NEOPRENE CONTACT ADHESIVE,Solvent Based,"Specifically designed for laminating and general bonding to substrates in the Marine industry. Laminates and bonds a wide variety of materials. 
This includes:
• Headliners
• Dashboard covers
• Vinyls
• HPL (High Pressure Laminate)",Already on New Site,"*  1 Gallon Pail
*  5 Gallon Pail
*  55 Gallon Drum",*  Amber,,,,
,,Marine,ForzaBOND,M-C283,Non-Flammable Contact Adhesive,Solvent Based,"Specifically designed for laminating and general bonding to substrates in marine applications including:
* Veneers
* Fabics
* Uphostery
* Foam
* Headliners
* Fiberglass
* Plastics","• Non-Flammable
• Excellent high coverage
• Over 220ºF (105ºF) temperature resistant
• 80% of final strength achieved immediately; full strength achieved in 24 hours
• Fast drying with long open time
• No ODS (Ozone Depleting Substances)
• VOC free
• Qualifies for LEED - NC & CI EQ Credit 4.4: laminating adhesives shall contain no urea formaldehyde resin","*  1 Gallon Can
*  5 Gallon Pail
*  52 Gallon Drum",,"• FC-CAR (citrus cleaner)
• Organic Solvents",,,
Yes,Yes,Marine,ForzaBOND,M-C285,PREMIUM HIGH TEMP NEOPRENE CONTACT ADHESIVE,Solvent Based,"Specifically designed for marine applications, bonding materials without the need for fasterners, including: 
* Veneer, Fabric, Upholstery, Foam, Wood 
* Rubber, Plastic laminate, Melamine, 
* Metal, Fiberglass, Various plastics  
Typical applications Include:
* Laminating flexible materials to panels on boats and yachts
* Rapid bonding of lightweight parts in cabins, decks, and marine vehicles
* Bonding leather and veneer for dashboard, throttle panels, & steering wheel wraps
* Adhering foam and upholstery for seating and interior surfaces on marine vessels",Already on New Site,"*  1 Gallon Pail
*  5 Gallon Pail
*  55 Gallon Drum","*  Red
*  Amber",,,,
Yes,Yes,Marine,ForzaBOND,MC722,WEB SPRAY NON-FLAM/NON-METHYLENE CHLORIDE CONTACT ADHESIVE,Solvent Based,"Specifically designed to bond:
• Marine carpeting including metal, wood, and composites
• Headliner to interiors
• Foam in upholstery and seating
• Plastic laminate in wood working
• Porous and insulation materials",Already on New Site,"*  22L Disposable Canister
*  108L Returnable Canister","*  Clear
*  Blue",,,,
Yes,Yes,Marine,ForzaBOND,MC723,WEB SPRAY CA COMPLIANT MULTI-PURPOSE CONTACT ADHESIVE,Solvent Based,"Specifically designed to bond:
• Marine carpeting including metal, wood, and composites
• Head liner to interiors
• Foam in upholstery and seating
• Plastic laminate in wood working",Already on New Site,"*  13oz Aerosol Can
*  22L Disposable Canister
*  108L Returnable Canister
*  55 Gallon Drum
*  5 Gallon Pail","*  Clear
*  Red",,,,
Yes,Yes,Marine,ForzaBOND,MC724,WEB SPRAY PRESSURE SENSITIVE ADHESIVE,Solvent Based,"Pressure sensitive adhesive designed for use in applications using:
* Polystyrene
* Foam of all types
* Flooring product
* Carpeting
* Vinyls (backed)
* Insulation
* Wood
* Fabrics
* Acoustic material",Already on New Site,"*  13oz Aerosol Can
*  22L Disposable Canister
*  108L Disposable Canister","*  Clear
*  Green",,,,
,,Marine,ForzaBOND,MC736 ,"LOW VOC, CA COMPLIANT, AGGRESSIVE, FAST DRYING, PRESSURE SENSITIVE ADHESIVE",Solvent Based,"Designed to bond numerous substrates including these: 
• Insulation Materials
• Metals
• Aluminum
• Foam
• Wood
• Fabric","• CA Compliant
• Aggressive Tack
• Pressure sensitive adhesive
• Very fast drying
• Long lasting high tack (pressure sensitive) 
• Aggressive - bonds to nearly any surface 
• High strength, long-term bond
• Low VOC & California Compliant (SCAQMD Rule 1168)
• No ODS (ozone depleting substances","*  13oz Aerosol Can
*  22L Disposable Canister
*  108L Disposable Canister",,"• FC-CAR (citrus cleaner)
• Organic Solvents","• FK20 Gun
• FK30 Hose
• Use 6501B Spray Tip
• FK300 Valve Splitter",,
Yes,Yes,Marine,ForzaBOND,MC737 ,WEB SPRAY STYRENE SAFE PRESSURE SENSITIVE ADHESIVE,Solvent Based,"Web spray adhesive designed for applications using:
• Polystyrene
• Foam of all types
• Flooring product
• Carpeting
• Vinyls (backed)
• Insulation
• Wood
• Fabrics
• Acoustic materials",Already on New Site,"*  13oz Aerosol Can
*  22L Disposable Canister
*  108L Returnable Canister","*  Clear
*  Green",,,,
,,Marine,ForzaBOND,MC739,WEB SPRAY RESIN COMPATIBLE ADHESIVE TACKIFIER,Solvent Based,"Temporarily bonds & fixtures materials in various marine applications including:
• Fabric matting
• Reinforcement materials
Compatible with:
• Vinyl Ester
• Polyester
• Styrene Resins","• High Tack Formulation
• Designed to not interfere with curing process of vinyl ester, polyester, and styrene resins
• Tackifier Resin, engineered to dissolve and become part of polymer matrix
• Does not act as a contaminate to most resins
• Helps improve overall strength of composite structures by eliminating wet out (uncured resin pockets)
• Ultra efficient portable low maintenance spray system (requires no external air sources)","*  13oz Aerosol Can
*  22L Disposable Canister
*  108L Returnable Canister",,,"• FK20 Spray Gun
• FK30 Hose
• Use M201, 6501, or 9501 Spray Tip",,
Yes,Yes,Marine,ForzaBOND,MC741,CA COMPLIANT MULTI-PURPOSE CONTACT ADHESIVE,Solvent Based,"Permanently bonds to:
• Marine carpeting including metal, wood, and composites.
• Head liner to interiors.
• Foam in upholstery and seating.
• Plastic laminate in wood working.
• Marine Carpeting",Already on New Site,"*  13 oz Aerosol Can
*  22L Disposable Canister
*  108L Returnable Canister
*  55 Gallon Drum","*  Clear
*  Red",,,,
Yes,Yes,Marine,ForzaBOND,M-OA755,HIGH-STRENGTH SINGLE-PART HYBRID POLYMER ADHESIVE/SEALANT,Modified Silane,"Specifically designed for permanent, flexible, and structural bonding in marine applications. It is formulated to bond a wide variety of materials, including aluminum, brass, steel, wood, plastics, and fiberglass composites without the need for fasteners.
Applications include:
• Bonding stiffiners in aluminum bass boats
• Reinforcing materials in fiberglass boats
• Bonding teak flooring and furniture
• General mounting applications exposed to weather and UV",Already on New Site,"*  20oz Sausage
*  1oz Cartridge
*  28oz Cartridge
*  52 Gallon Drum
*  5 Gallon Pail","*  Grey
*  White",,,,
Yes,Yes,Marine,ForzaBOND,M-OS764,ULTRA HIGH-STRENGTH HYBRID POLYMER STRUCTURAL ADHESIVE,Modified Silane,"Specifically designed to bond a large variety of materials including metals, granite, painted steel, glass, wood, most plastics, fiberglass, rubber, and polystyrene foam. Provides a permanent structural bond with internal and external applications above the waterline:
• Structural bonding composites
• Metal applications - repairing welds not under load
• Windshield on watercraft",Already on New Site,"*  20oz Sausage
*  1oz Cartridge
*  52 Gallon Drum
*  5 Gallon Pail","*  Grey
*  White",,,,
Yes,Yes,Marine,ForzaSEAL,M-OS789,MULTI-PURPOSE HYBRID POLYMER SEALANT,Modified Silane,"Designed to seal a large variety of materials in boat manufacturing:
• Bonds to fiberglass, wood, metal, and glass.
• Designed for interior and exteri",Already on New Site,"*  20oz Sausage
*  1oz Cartridge
*  28oz Cartridge
*  52 Gallon Drum
*  5 Gallon Pail","*  Grey
*  Black
*  White",,,,
Yes,Yes,Marine,ForzaSEAL,M-OS796,FAST-SKIN MULTI-PURPOSE HYBRID POLYMER SEALANT,Modified Silane,"*  Specifically designed for sealing applications above water line including aluminum, steel, composite, and wood.
*  Marine plywood to pontoons, aluminum and composites.
*  Bonds to fiberdglass, wood, metal, and glass.","*  Retains strong bond through impact, peel, flex and changing temperature 
*  Easily apply by extrusion, spray or trowel 
*  Non-yellowing 
*  Does not form bubbles, shrink or crack 
*  Highly weather resistant 
*  Immediately paintable applications 
Low temperature flexibility (properties retained to -75° F) 
Quick skin
Can be painted","*  10.1 oz Cartridge
*  20 oz Sausage
*  28 oz Cartridge
*  5 Gallon Pail
*  52 Gallon Drum",,,,,
Yes,Yes,Marine,ForzaBOND,M-OSA783,ADHESIVE PRIMER & PROMOTER,Solvent Based,"Used to promote adhesion in marine applications that include: painted surfaces, bare metals, plastics, and composites",Already on New Site,*  1 Quart Can,,,,,
Yes,Yes,Marine,ForzaBOND,M-R420,EPOXY QUICK-SET TWO-PART ADHESIVE,Epoxy,"Designed for use in Marine Appliations that require bonding to wood, concrete, fiberglass, and most thermoset plastics, metals and composite materials.",Already on New Site,"*  300ml Dual Cartridge
*  280ml Coaxal
*  5 Gallon Pail",,,,,
Yes,Yes,Marine,ForzaBOND,M-R445,TWO-PART EPOXY ADHESIVE,Modified Epoxy,"Specifically designed for Marine Applications that benefit from the elimination of exothermic reaction issues common with composite materials. It bonds similar materials while generating no heat during curing, resulting in no gel coat 'witness marks'.",Already on New Site,"*  400ml Cartridge
*  52 Gallon Drum
*  5 Gallon Pail",,,,,
,,Marine,ForzaBOND,M-R478,Two-Part Methacrylate Adhesive,Modified Epoxy,"Ideal for Marine Applications requiring the bonding of engineered thermoplastics, thermosets, composites, rubbers, and metals without the need for surface preparation, primers, or chemical wipes. 
Ideally suited for structural applications.","• Excellent bond strength
• Impact and weather resistant
• 1:1 ratio - easy mixing or dispensing
• Minimal surface preparation required
• Forms tough, high-strength, high-impact resistant bonds
• Resists most common industrial cleaners, fuels, lubricants, and environmental conditions
• Retains bond in strength in boiling water, salt water, salt fog, kerosene, gasoline, diesel fuel, antifreeze, hydraulic fluid, and cutting oils","*  50ml Cartridge
*  400ml Cartridge
*  52 Gallon Drum
*  5 Gallon Pail",,,,,
,Yes,Marine,ForzaBOND,M-S750,TAPE PRIMER AND ADHESION PROMOTER,Solvent Based,"*  Primer specifically designed to increase adhesion with high bond tapes in many marine applications.
*  Improves adhesion on polyethylene, polypropylene, other plastics, glass, metals, rubber, and painted surfaces when used in conjunction with the Forza’s high bond, double coated, foam tapes.","*  Works with cyanoacrylate adhesives
*  Increases adhesion with high bond tapes and other adhesives
*  Improves adhesion on polyethylene, polypropylene, ABS, PET/PBT, concrete, wood, glass, metal, and painted surfaces.","*  1 Quart
*  1 Gallon
*  5 Gallon",,,,,
Yes,Yes,Marine,ForzaTAPE,M-T815,DOUBLE-COATED ULTRA HIGH-BOND ACRYLIC FOAM TAPE,Acrylic Foam,"* Bonds plastics, metals, woods, papers, and silicones used in marine applications. 
* Ideal for replacing screws, rivets, and some adhesives in various marine bonding and mounting applications",Already on New Site,"*  1/2in x 108ft
*  1/4 in x 108ft
*  3/4 in x 108ft
*  1 in x 108ft
*  1 ½in x 108ft
*  3/8in x 108ft",,,,,
Yes,Yes,Marine,ForzaTAPE,M-T820,DOUBLE-COATED ULTRA HIGH-BOND ACRYLIC FOAM TAPE,Acrylic Foam,"* Bonds plastics, metals, woods, papers, and silicones used in marine applications. 
* Ideal for replacing screws, rivets, and some adhesives in various marine bonding and mounting applications",Already on New Site,"*  1/2in x 108ft
*  1/4 in x 108ft
*  3/4 in x 108ft
*  1 in x 108ft
*  1 ½in x 108ft
*  3/8in x 108ft",,,,,
,,,,,,,,,,,,,,
On New Site,On Old,Industry,Family,Product ID,Product Name,Chemistry,Applications,Benefits,Size ,Color,Cleanup,Recommended Equipment,TDS Data Table,
Yes,Yes,Composites,ForzaBOND,TAC-734G,WEB SPRAY HIGH TACK INFUSION MOLDING ADHESIVE,Solvent Based,"An infusion molding adhesive that is specifically formulated to overcome the problems normally associated with using other types of adhesives, such as bonding failure, resin blockage, and surface defects in the finish product. Designed to work with these materials and processes associated with infusion molding:
• Fiberglass and other matting materials
• Core Materials
• Infusion Consumable Materials
• RTM
• LRTM
• Vacuum Infusion",Already on New Site - React New Site Already,"*  13oz Aerosol Can
*  22L Disposable Canister
*  108L Returnable Canister",,,,,
